Algorithm,Size,Case,Time (s),Time StdDev,Comparisons,Steps
Linear Search,1000,average,4.960005753673613e-06,2.5128452310712496e-06,13.0,13.0
Binary Search,1000,average,6.079996819607914e-06,2.382770536022945e-06,17.0,9.0
Jump Search,1000,average,6.160003249533475e-06,2.436887240420909e-06,14.0,14.0
Exponential Search,1000,average,5.000003147870302e-06,2.305641217149364e-06,6.0,6.0
Fibonacci Search,1000,average,7.219996768981219e-06,2.026228226047039e-06,5.0,20.0
Interpolation Search,1000,average,2.420003875158727e-06,1.2576115589976873e-06,5.0,3.0
Linear Search,5000,average,0.00012422000290825962,4.515043536131784e-06,1355.0,1355.0
Binary Search,5000,average,3.679998917505145e-06,1.0703275892030333e-06,23.0,12.0
Jump Search,5000,average,1.0120001388713717e-05,2.300786738179201e-06,45.0,45.0
Exponential Search,5000,average,4.799998714588583e-06,1.5112850148629649e-06,31.0,22.0
Fibonacci Search,5000,average,6.359998951666057e-06,9.350954696532494e-07,14.0,32.0
Interpolation Search,5000,average,2.439998206682503e-06,8.957703591694469e-07,7.0,4.0
Linear Search,10000,average,0.000459139997838065,1.1854380809022953e-05,4843.0,4843.0
Binary Search,10000,average,2.3600005079060793e-06,9.769356387510696e-07,11.0,6.0
Jump Search,10000,average,2.015999925788492e-05,2.272091402053968e-06,92.0,92.0
Exponential Search,10000,average,5.360000068321824e-06,1.338060305050971e-06,37.0,26.0
Fibonacci Search,10000,average,6.260001100599766e-06,1.0818527476387613e-06,13.0,32.0
Interpolation Search,10000,average,1.8999970052391291e-06,7.042722516935364e-07,5.0,3.0
Linear Search,20000,average,7.865999650675803e-05,5.819485226081648e-06,820.0,820.0
Binary Search,20000,average,3.0599971069023012e-06,7.73560571737864e-07,17.0,9.0
Jump Search,20000,average,1.4179997378960252e-05,1.811515046014522e-06,121.0,121.0
Exponential Search,20000,average,4.139999509789049e-06,9.666457393621203e-07,24.0,18.0
Fibonacci Search,20000,average,5.400000372901559e-06,9.612474235724462e-07,10.0,31.0
Interpolation Search,20000,average,9.99998883344233e-07,4.560710902567257e-07,1.0,1.0
Linear Search,50000,average,0.0005977999971946701,0.00010947011955931772,5517.0,5517.0
Binary Search,50000,average,4.000004264526069e-06,1.1045363439203174e-06,25.0,13.0
Jump Search,50000,average,2.4499997380189598e-05,2.202727690973967e-06,190.0,190.0
Exponential Search,50000,average,4.459999036043882e-06,1.080003157442147e-06,29.0,22.0
Fibonacci Search,50000,average,6.3000014051795e-06,1.211613959281808e-06,12.0,35.0
